code,name,sector,industry,market_cap
603315.SS,"Liaoning Fu-An Heavy Industry Co.,Ltd",Basic Materials,Steel,5286043648
600698.SS,"Hunan Tyen Machinery Co.,Ltd",Industrials,Specialty Industrial Machinery,7630073344
001257.SZ,Luoyang Shenglong Mining Grp,Basic Materials,Other Industrial Metals & Mining,46302679040
600234.SS,"Kexin Development Co.,Ltd,Shanxi",Communication Services,Advertising Agencies,6704785920
600979.SS,"Sichuan Guangan Aaa Public Co.,Ltd",Utilities,Utilities - Regulated Electric,6295667712
601678.SS,"Befar Group Co.,Ltd",Basic Materials,Specialty Chemicals,12238175232
300262.SZ,*ST SAFBON,,,569302144
002201.SZ,"Jiangsu Jiuding New Material Co., Ltd.",Basic Materials,Specialty Chemicals,7330907648
600255.SS,"Anhui Xinke New Materials Co.,Ltd",Basic Materials,Copper,7712247296
000055.SZ,"China Fangda Group Co., Ltd.",Industrials,Building Products & Equipment,3973334528
603317.SS,"Sichuan Teway Food Group Co.,Ltd",Consumer Defensive,Packaged Foods,14437533696
600338.SS,"Xizang Zhufeng Resources Co., Ltd.",Basic Materials,Other Industrial Metals & Mining,15724416000
601512.SS,"China-Singapore Suzhou Industrial Park Development Group Co., Ltd.",Industrials,Engineering & Construction,12275908608
300385.SZ,"Wuxi Xuelang Environmental Technology Co., Ltd.",Industrials,Waste Management,4760655360
600605.SS,"Shanghai Huitong Energy Co.,Ltd",Industrials,Specialty Industrial Machinery,6165782016
000090.SZ,"Shenzhen Tagen Group Co., Ltd.",Industrials,Engineering & Construction,6633336320
600996.SS,"Guizhou BC&TV Information Network CO.,LTD",Communication Services,Broadcasting,10971839488
603026.SS,"Shida Shinghwa Advanced Material Group Co., Ltd.",Basic Materials,Chemicals,19053557760
600078.SS,"Jiangsu ChengXing Phosph-Chemicals Co., Ltd.",Basic Materials,Chemicals,8500769792
001211.SZ,"Suncha Technology Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",3611000064
000001.SZ,"Ping An Bank Co., Ltd.",Financial Services,Banks - Regional,219286880256
